GRAPHEME	tone	stress	syllabic	short	long	consonantal	sonorant	continuant	delayedRelease	approximant	tap	trill	nasal	lateral	labial	round	labiodental	coronal	anterior	distributed	strident	dorsal	high	low	front	back	tense	retractedTongueRoot	advancedTongueRoot	periodicGlottalSource	epilaryngealSource	spreadGlottis	constrictedGlottis	fortis	lenis	raisedLarynxEjective	loweredLarynxImplosive	click
˨˦	+	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
˨˦˦	+	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
˨˦˧	+	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
˨˦˨	+	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
˨˧	+	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
˨˧˨	+	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
˨˧˩	+	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
˨˨˦	+	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
˨˩	+	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
˨˩̤	+	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	+	.	+	-	.	.	.	.	.
˩	+	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
˩˥	+	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
˩˧	+	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
˩˧˩	+	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
˩˨	+	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
˩̰	+	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	+	.	-	+	.	.	.	.	.
β	.	-	-	-	-	+	-	+	+	-	-	-	-	-	+	-	-	-	.	.	.	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
βʲ	.	-	-	-	-	+	-	+	+	-	-	-	-	-	+	-	-	-	.	.	.	.	+	-	+	-	.	-	-	+	-	-	-	-	-	-	-	-
βʲː	.	-	-	-	+	+	-	+	+	-	-	-	-	-	+	-	-	-	.	.	.	.	+	-	+	-	.	-	-	+	-	-	-	-	-	-	-	-
βʷ	.	-	-	-	-	+	-	+	+	-	-	-	-	-	+	.	-	-	.	.	.	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
βː	.	-	-	-	+	+	-	+	+	-	-	-	-	-	+	-	-	-	.	.	.	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
β̃	.	-	-	-	-	+	-	+	+	-	-	-	+	-	+	-	-	-	.	.	.	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
β̞	.	-	-	-	-	-	+	+	.	+	-	-	-	-	+	-	-	-	.	.	.	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
β̞ʲ	.	-	-	-	-	-	+	+	.	+	-	-	-	-	+	-	-	-	.	.	.	.	+	-	+	-	.	-	-	+	-	-	-	-	-	-	-	-
β̞ː	.	-	-	-	+	-	+	+	.	+	-	-	-	-	+	-	-	-	.	.	.	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
β̞ˠ	.	-	-	-	-	-	+	+	.	+	-	-	-	-	+	-	-	-	.	.	.	.	+	-	-	-	.	-	-	+	-	-	-	-	-	-	-	-
θ	.	-	-	-	-	+	-	+	+	-	-	-	-	-	-	.	.	+	+	+	-	-	.	.	.	.	.	-	-	-	-	-	-	-	-	-	-	-
θʼ	.	-	-	-	-	+	-	+	+	-	-	-	-	-	-	.	.	+	+	+	-	-	.	.	.	.	.	-	-	-	-	-	+	-	-	+	-	-
θː	.	-	-	-	+	+	-	+	+	-	-	-	-	-	-	.	.	+	+	+	-	-	.	.	.	.	.	-	-	-	-	-	-	-	-	-	-	-
θ̪	.	-	-	-	-	+	-	+	+	-	-	-	-	-	-	.	.	+	+	+	-	-	.	.	.	.	.	-	-	-	-	-	-	-	-	-	-	-
θ̰	.	-	-	-	-	+	-	+	+	-	-	-	-	-	-	.	.	+	+	+	-	-	.	.	.	.	.	-	-	+	-	-	+	-	-	-	-	-
θ̻	.	-	-	-	-	+	-	+	+	-	-	-	-	-	-	.	.	+	+	+	-	-	.	.	.	.	.	-	-	-	-	-	-	-	-	-	-	-
χ	.	-	-	-	-	+	-	+	+	-	-	-	-	-	-	.	.	-	.	.	.	+	-	-	-	+	.	-	-	-	-	-	-	-	-	-	-	-
χʲ	.	-	-	-	-	+	-	+	+	-	-	-	-	-	-	.	.	-	.	.	.	+	.	-	.	.	.	-	-	-	-	-	-	-	-	-	-	-
χʷ	.	-	-	-	-	+	-	+	+	-	-	-	-	-	.	+	-	-	.	.	.	+	-	-	-	+	.	-	-	-	-	-	-	-	-	-	-	-
χʷʲ	.	-	-	-	-	+	-	+	+	-	-	-	-	-	.	+	-	-	.	.	.	+	.	-	.	.	.	-	-	-	-	-	-	-	-	-	-	-
χʷʼ	.	-	-	-	-	+	-	+	+	-	-	-	-	-	.	+	-	-	.	.	.	+	-	-	-	+	.	-	-	-	-	-	+	-	-	+	-	-
χʷː	.	-	-	-	+	+	-	+	+	-	-	-	-	-	.	+	-	-	.	.	.	+	-	-	-	+	.	-	-	-	-	-	-	-	-	-	-	-
χʷˤ	.	-	-	-	-	+	-	+	+	-	-	-	-	-	.	+	-	-	.	.	.	+	-	-	-	+	.	.	-	-	-	-	-	-	-	-	-	-
χʷˤː	.	-	-	-	+	+	-	+	+	-	-	-	-	-	.	+	-	-	.	.	.	+	-	-	-	+	.	.	-	-	-	-	-	-	-	-	-	-
χʼ	.	-	-	-	-	+	-	+	+	-	-	-	-	-	-	.	.	-	.	.	.	+	-	-	-	+	.	-	-	-	-	-	+	-	-	+	-	-
χʼː	.	-	-	-	+	+	-	+	+	-	-	-	-	-	-	.	.	-	.	.	.	+	-	-	-	+	.	-	-	-	-	-	+	-	-	+	-	-
χː	.	-	-	-	+	+	-	+	+	-	-	-	-	-	-	.	.	-	.	.	.	+	-	-	-	+	.	-	-	-	-	-	-	-	-	-	-	-
χˤ	.	-	-	-	-	+	-	+	+	-	-	-	-	-	-	.	.	-	.	.	.	+	-	-	-	+	.	.	-	-	-	-	-	-	-	-	-	-
χˤː	.	-	-	-	+	+	-	+	+	-	-	-	-	-	-	.	.	-	.	.	.	+	-	-	-	+	.	.	-	-	-	-	-	-	-	-	-	-
χ͈	.	-	-	-	-	+	-	+	+	-	-	-	-	-	-	.	.	-	.	.	.	+	-	-	-	+	.	-	-	-	-	-	-	+	-	-	-	-
χ͈ʷ	.	-	-	-	-	+	-	+	+	-	-	-	-	-	.	+	-	-	.	.	.	+	-	-	-	+	.	-	-	-	-	-	-	+	-	-	-	-
ᴅ	.	-	-	-	-	+	+	+	.	+	+	-	-	-	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
ᴅ̪	.	-	-	-	-	+	+	+	.	+	+	-	-	-	-	.	.	+	+	+	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
