GRAPHEME	SYLLABIC	vocalic	V-place	approximant	vocoid	sonorant	continuant	voice	constricted	lateral	nasal	strident	spread	ATR	anterior (C)	anterior (V)	anterior (any)	coronal (C)	coronal (V)	coronal (any)	labial (C)	distributed (C)	distributed (V)	distributed (any)	C-place	pharyngeal (C)	lingual (C)	dorsal (C)	pharyngeal (V)	labial (V)	lingual (V)	dorsal (V)	LONG	EXTRA	open1	open2	open3	open4	open5	open6	pharyngeal (any)	labial (any)	lingual (any)	dorsal (any)
ɺ	-	o	o	+	-	+	+	+	-	+	-	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ɻ	-	x	x	+	+	+	+	+	-	-	-	-	-	+	n	-	-	-	+	+	-	n	-	-	x	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	+	-
ɽ	-	o	o	+	-	+	+	+	-	-	-	-	-	n	-	n	-	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ɽʰ	-	o	o	+	-	+	+	+	-	-	-	-	+	n	-	n	-	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ɾ	-	o	o	+	-	+	+	+	-	-	-	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ɾð	-	o	o	+	-	+	+	+	-	-	-	-	-	n	+	n	+	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ɾʲ	-	x	x	+	-	+	+	+	-	-	-	-	-	n	+	-	+	+	+	+	-	-	+	+	x	-	+	-	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
ɾˡ	-	o	o	+	-	+	+	+	-	+	-	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ɾˤ	-	x	x	+	-	+	+	+	-	-	-	-	-	n	+	n	+	+	-	+	-	-	n	-	x	-	+	-	+	-	-	-	-	-	.	.	.	.	.	.	+	-	+	-
ɾ̃	-	o	o	+	-	+	+	+	-	-	+	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ɾ̪	-	o	o	+	-	+	+	+	-	-	-	-	-	n	+	n	+	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ɾ̪ˤ	-	x	x	+	-	+	+	+	-	-	-	-	-	n	+	n	+	+	-	+	-	+	n	+	x	-	+	-	+	-	-	-	-	-	.	.	.	.	.	.	+	-	+	-
ʀ	-	o	o	+	-	+	+	+	-	-	-	-	-	n	n	n	n	-	o	-	-	n	n	n	x	+	+	+	o	o	o	o	-	-	.	.	.	.	.	.	+	-	+	+
ʀʼ	-	o	o	+	-	+	+	+	+	-	-	-	-	n	n	n	n	-	o	-	-	n	n	n	x	+	+	+	o	o	o	o	-	-	.	.	.	.	.	.	+	-	+	+
ʁ	-	o	o	-	-	-	+	+	-	-	-	.	-	n	n	n	n	-	o	-	-	n	n	n	x	+	+	+	o	o	o	o	-	-	.	.	.	.	.	.	+	-	+	+
ʁʲ	-	x	x	-	-	-	+	+	-	-	-	.	-	n	n	-	-	-	+	+	-	n	+	+	x	+	+	+	-	-	+	-	-	-	.	.	.	.	.	.	+	-	+	+
ʁʷ	-	x	x	-	-	-	+	+	-	-	-	.	-	n	n	n	n	-	-	-	-	n	n	n	x	+	+	+	+	+	-	-	-	-	.	.	.	.	.	.	+	+	+	+
ʁː	-	o	o	-	-	-	+	+	-	-	-	.	-	n	n	n	n	-	o	-	-	n	n	n	x	+	+	+	o	o	o	o	+	-	.	.	.	.	.	.	+	-	+	+
ʁˤ	-	x	x	-	-	-	+	+	-	-	-	.	-	n	n	n	n	-	-	-	-	n	n	n	x	+	+	+	+	-	-	-	-	-	.	.	.	.	.	.	+	-	+	+
ʁˤʷ	-	x	x	-	-	-	+	+	-	-	-	.	-	n	n	n	n	-	-	-	-	n	n	n	x	+	+	+	+	+	-	-	-	-	.	.	.	.	.	.	+	+	+	+
ʂ	-	o	o	-	-	-	+	-	-	-	-	+	-	n	-	n	-	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ʂʰ	-	o	o	-	-	-	+	-	-	-	-	+	+	n	-	n	-	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ʃ	-	o	o	-	-	-	+	-	-	-	-	+	-	n	-	n	-	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ʃtʃ	-	o	o	-	-	-	-	-	-	-	-	+	-	n	-	n	-	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ʃʲ	-	x	x	-	-	-	+	-	-	-	-	+	-	n	-	-	-	+	+	+	-	+	+	+	x	-	+	-	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
ʃʷ	-	x	x	-	-	-	+	-	-	-	-	+	-	n	-	n	-	+	-	+	-	+	n	+	x	-	+	-	+	+	-	-	-	-	.	.	.	.	.	.	+	+	+	-
ʃʼ	-	o	o	-	-	-	+	-	+	-	-	+	-	n	-	n	-	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ʃʼʷ	-	x	x	-	-	-	+	-	+	-	-	+	-	n	+	n	+	+	-	+	-	-	n	-	x	-	+	-	-	+	-	-	-	-	.	.	.	.	.	.	-	+	+	-
ʃː	-	o	o	-	-	-	+	-	-	-	-	+	-	n	-	n	-	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	+	-	.	.	.	.	.	.	-	-	+	-
ʃ̀	-	o	o	-	-	-	+	-	+	-	-	+	-	n	-	n	-	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ʃ̥ʷ	-	x	x	-	-	-	+	-	-	-	-	+	-	n	-	n	-	+	-	+	-	+	n	+	x	-	+	-	+	+	-	-	-	-	.	.	.	.	.	.	+	+	+	-
ʃ͡kʷ	-	x	x	-	-	-	-	-	-	-	-	+	-	n	-	n	-	+	-	+	-	+	n	+	x	-	+	+	+	+	-	-	-	-	.	.	.	.	.	.	+	+	+	+
ʄ	-	o	o	-	-	-	-	+	+	-	-	-	-	n	-	n	-	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ʄ̥	-	o	o	-	-	-	-	-	+	-	-	-	-	n	-	n	-	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ʈ	-	o	o	-	-	-	-	-	-	-	-	-	-	n	-	n	-	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ʈɽ	-	o	o	-	-	-	-	-	-	-	-	-	-	n	-	n	-	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ʈʂ	-	o	o	-	-	-	-	-	-	-	-	+	-	n	-	n	-	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ʈʂʰ	-	o	o	-	-	-	-	-	-	-	-	+	+	n	-	n	-	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ʈʂʼ	-	o	o	-	-	-	-	-	+	-	-	+	-	n	-	n	-	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ʈʰ	-	o	o	-	-	-	-	-	-	-	-	-	+	n	-	n	-	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ʈʲ	-	x	x	-	-	-	-	-	-	-	-	-	-	n	-	-	-	+	+	+	-	-	+	+	x	-	+	-	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
ʈʲʰ	-	x	x	-	-	-	-	-	-	-	-	-	+	n	-	-	-	+	+	+	-	-	+	+	x	-	+	-	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
ʈⁿ	-	o	o	-	-	-	-	-	-	-	+	-	-	n	-	n	-	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ʉ	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	-	-	-	-	.	.	.	.	.	.	-	+	-	-
ʉ̃ⁿ	+	x	x	+	+	+	+	+	-	-	+	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	-	-	-	-	.	.	.	.	.	.	-	+	-	-
ʉ̟ː	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	-	-	+	-	.	.	.	.	.	.	-	+	-	-
ʊ	+	x	x	+	+	+	+	+	-	-	-	-	-	-	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	-	-	.	.	.	.	.	.	-	+	+	+
ʊɔ	+	x	x	+	+	+	+	+	-	-	-	-	-	-	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	+	-	-	-	-	-	-	-	-	+	+	+
ʊʏ̯	+	x	x	+	+	+	+	+	-	-	-	-	-	-	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	+	+	+	+	-	-	-	-	-	-	-	-	+	+	+
ʊː	+	x	x	+	+	+	+	+	-	-	-	-	-	-	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	+	-	.	.	.	.	.	.	-	+	+	+
ʊ̃	+	x	x	+	+	+	+	+	-	-	+	-	-	-	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	-	-	.	.	.	.	.	.	-	+	+	+
ʊ̃ː	+	x	x	+	+	+	+	+	-	-	+	-	-	-	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	+	-	.	.	.	.	.	.	-	+	+	+
ʊ̘	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	-	-	.	.	.	.	.	.	-	+	+	+
ʊ̥	+	x	x	+	+	+	+	-	-	-	-	-	-	-	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	-	-	.	.	.	.	.	.	-	+	+	+
ʋ	-	x	x	+	+	+	+	+	-	-	-	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	+	-	-
ʋ*	-	x	x	+	+	+	+	+	-	-	-	-	-	-	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	+	-	-
ʋʰ	-	x	x	+	+	+	+	+	-	-	-	-	+	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	+	-	-
ʋʲ	-	x	x	+	+	+	+	+	-	-	-	-	-	+	n	-	-	-	+	+	-	n	-	-	x	-	-	-	-	+	+	-	-	-	-	-	-	-	-	-	-	+	+	-
ʋ̃	-	x	x	+	+	+	+	+	-	-	+	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	+	-	-
ʌ	+	x	x	+	+	+	+	+	-	-	-	-	-	-	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	-	+	+	-	-	.	.	.	.	.	.	-	-	+	+
ʌː	+	x	x	+	+	+	+	+	-	-	-	-	-	-	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	-	+	+	+	-	.	.	.	.	.	.	-	-	+	+
ʌ̃	+	x	x	+	+	+	+	+	-	-	+	-	-	-	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	-	+	+	-	-	.	.	.	.	.	.	-	-	+	+
ʌ̃ː	+	x	x	+	+	+	+	+	-	-	+	-	-	-	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	-	+	+	+	-	.	.	.	.	.	.	-	-	+	+
ʌ̆	+	x	x	+	+	+	+	+	-	-	-	-	-	-	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	-	+	+	-	+	.	.	.	.	.	.	-	-	+	+
ʌ̝	+	x	x	+	+	+	+	+	-	-	-	-	-	-	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	-	+	+	-	-	.	.	.	.	.	.	-	-	+	+
ʌ̤	+	x	x	+	+	+	+	+	-	-	-	-	+	-	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	-	+	+	-	-	.	.	.	.	.	.	-	-	+	+
ʌ̤ː	+	x	x	+	+	+	+	+	-	-	-	-	+	-	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	-	+	+	+	-	.	.	.	.	.	.	-	-	+	+
ʍ	-	x	x	+	+	+	+	-	-	-	-	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	-	-	-	-	-	-	-	-	-	+	+	+
ʎ	-	o	o	+	-	+	-	+	-	+	-	-	-	n	-	n	-	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ʎ̥	-	o	o	+	-	+	-	-	-	+	-	-	-	n	-	n	-	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ʏ	+	x	x	+	+	+	+	+	-	-	-	-	-	-	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	+	+	-	-	-	.	.	.	.	.	.	-	+	+	-
ʐ	-	o	o	-	-	-	+	+	-	-	-	+	-	n	-	n	-	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ʑ	-	o	o	-	-	-	+	+	-	-	-	+	-	n	-	n	-	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ʒ	-	o	o	-	-	-	+	+	-	-	-	+	-	n	-	n	-	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ʒʰ	-	o	o	-	-	-	+	+	-	-	-	+	+	n	-	n	-	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ʒʲ	-	x	x	-	-	-	+	+	-	-	-	+	-	n	-	-	-	+	+	+	-	+	+	+	x	-	+	-	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
ʒʷ	-	x	x	-	-	-	+	+	-	-	-	+	-	n	-	n	-	+	-	+	-	+	n	+	x	-	+	-	+	+	-	-	-	-	.	.	.	.	.	.	+	+	+	-
ʒː	-	o	o	-	-	-	+	+	-	-	-	+	-	n	-	n	-	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	+	-	.	.	.	.	.	.	-	-	+	-
ʒ̤	-	o	o	-	-	-	+	+	-	-	-	+	+	n	-	n	-	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ʒ̥	-	o	o	-	-	-	+	+	-	-	-	+	-	n	-	n	-	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ʒ̥ʷ	-	x	x	-	-	-	+	+	-	-	-	+	-	n	-	n	-	+	-	+	-	+	n	+	x	-	+	-	+	+	-	-	-	-	.	.	.	.	.	.	+	+	+	-
ʒ͡ɣw	-	x	x	-	-	-	+	+	-	-	-	+	-	n	-	n	-	+	-	+	-	+	n	+	x	-	+	+	+	+	-	-	-	-	.	.	.	.	.	.	+	+	+	+
ʔ	-	n	n	-	-	+	-	-	+	-	-	-	-	n	n	n	n	o	o	-	o	n	n	n	n	o	o	o	o	o	o	o	-	-	.	.	.	.	.	.	-	-	-	-
ʔb	-	o	o	-	-	-	-	+	+	-	-	-	-	n	n	n	n	-	o	-	+	n	n	n	x	-	-	-	o	o	o	o	-	-	.	.	.	.	.	.	-	+	-	-
ʔd	-	o	o	-	-	-	-	+	+	-	-	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ʔj	-	x	x	+	+	+	+	+	+	-	-	-	-	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	+	-
ʔk	-	o	o	-	-	-	-	-	+	-	-	-	-	n	n	n	n	-	o	-	-	n	n	n	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
ʔl	-	o	o	+	-	+	-	+	+	+	-	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ʔm	-	o	o	-	-	+	-	+	+	-	+	-	-	n	n	n	n	-	o	-	+	n	n	n	x	-	-	-	o	o	o	o	-	-	.	.	.	.	.	.	-	+	-	-
ʔn	-	o	o	-	-	+	-	+	+	-	+	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ʔp	-	o	o	-	-	-	-	-	+	-	-	-	-	n	n	n	n	-	o	-	+	n	n	n	x	-	-	-	o	o	o	o	-	-	.	.	.	.	.	.	-	+	-	-
ʔt	-	o	o	-	-	-	-	-	+	-	-	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ʔw	-	x	x	+	+	+	+	+	+	-	-	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	-	-	-	-	-	-	-	-	-	+	+	+
ʔǀn	-	o	o	-	-	-	-	-	+	-	+	-	-	n	+	n	+	+	o	+	-	+	n	+	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
ʔǁn	-	o	o	-	-	-	-	-	+	+	+	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
ʔǂn	-	o	o	-	-	-	-	-	-	-	+	-	-	n	-	n	-	+	o	+	-	+	n	+	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
ʔǃn	-	o	o	-	-	-	-	-	+	-	+	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
ʔʘn	-	o	o	-	-	-	-	-	+	-	+	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
ʔʷ	-	x	x	-	-	+	-	-	+	-	-	-	-	n	n	n	n	o	-	-	o	n	n	n	n	o	o	o	+	+	-	-	-	-	.	.	.	.	.	.	+	+	-	-
ʔˤ	-	x	x	-	-	+	-	-	+	-	-	-	-	n	n	n	n	o	-	-	o	n	n	n	n	o	o	o	+	-	-	-	-	-	.	.	.	.	.	.	+	-	-	-
ʕ	-	o	o	-	-	-	+	+	-	-	-	-	-	n	n	n	n	-	o	-	-	n	n	n	x	+	-	-	o	o	o	o	-	-	.	.	.	.	.	.	+	-	-	-
ʕʷ	-	x	x	-	-	-	+	+	-	-	-	-	-	n	n	n	n	-	-	-	-	n	n	n	x	+	-	-	+	+	-	-	-	-	.	.	.	.	.	.	+	+	-	-
ʕʼ	-	o	o	-	-	-	+	+	+	-	-	-	-	n	n	n	n	-	o	-	-	n	n	n	x	+	-	-	o	o	o	o	-	-	.	.	.	.	.	.	+	-	-	-
ʕʼʷ	-	x	x	-	-	-	+	+	+	-	-	-	-	n	n	n	n	-	-	-	-	n	n	n	x	+	-	-	-	+	-	-	-	-	.	.	.	.	.	.	+	+	-	-
ʘ	-	o	o	-	-	-	-	-	-	-	-	-	-	n	n	n	n	-	o	-	+	n	n	n	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	+	+	+
ʘkxʔ	-	o	o	-	-	-	-	-	+	-	-	-	-	n	n	n	n	-	o	-	+	n	n	n	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	+	+	+
ʘn	-	o	o	-	-	-	-	-	-	-	+	-	-	n	n	n	n	-	o	-	+	n	n	n	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	+	+	+
ʘn̥	-	o	o	-	-	-	-	-	-	-	+	-	-	n	n	n	n	-	o	-	+	n	n	n	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	+	+	+
ʘq	-	o	o	-	-	-	-	-	-	-	-	-	-	n	n	n	n	-	o	-	+	n	n	n	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	+	+	+
ʘqʔ	-	o	o	-	-	-	-	-	+	-	-	-	-	n	n	n	n	-	o	-	+	n	n	n	x	+	+	+	o	o	o	o	-	-	.	.	.	.	.	.	+	+	+	+
ʘqʰ	-	o	o	-	-	-	-	-	-	-	-	-	+	n	n	n	n	-	o	-	+	n	n	n	x	+	+	+	o	o	o	o	-	-	.	.	.	.	.	.	+	+	+	+
ʘx	-	o	o	-	-	-	-	-	-	-	-	-	-	n	n	n	n	-	o	-	+	n	n	n	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	+	+	+
ʘʔ	-	o	o	-	-	-	-	-	+	-	-	-	-	n	n	n	n	-	o	-	+	n	n	n	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	+	+	+
ʘʰ	-	o	o	-	-	-	-	-	-	-	-	-	+	n	n	n	n	-	o	-	+	n	n	n	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	+	+	+
ʛ	-	o	o	-	-	-	-	+	+	-	-	-	-	n	n	n	n	-	o	-	-	n	n	n	x	+	+	+	o	o	o	o	-	-	.	.	.	.	.	.	+	-	+	+
ʝ	-	o	o	-	-	-	+	+	-	-	-	-	-	n	-	n	-	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ʝʼ	-	o	o	-	-	-	+	+	+	-	-	-	-	n	-	n	-	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
β	-	o	o	-	-	-	+	+	-	-	-	-	-	n	n	n	n	-	o	-	+	n	n	n	x	-	-	-	o	o	o	o	-	-	.	.	.	.	.	.	-	+	-	-
βm	-	o	o	-	-	.	+	+	-	-	+	-	-	n	n	n	n	-	o	-	+	n	n	n	x	-	-	-	o	o	o	o	-	-	.	.	.	.	.	.	-	+	-	-
θ	-	o	o	-	-	-	+	-	-	-	-	-	-	n	+	n	+	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
θʼ	-	o	o	-	-	-	+	-	+	.	-	-	-	n	+	n	+	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
χ	-	o	o	-	-	-	+	-	-	-	-	.	-	n	n	n	n	-	o	-	-	n	n	n	x	+	+	+	o	o	o	o	-	-	.	.	.	.	.	.	+	-	+	+
χʲ	-	x	x	-	-	-	+	-	-	-	-	.	-	n	n	-	-	-	+	+	-	n	+	+	x	+	+	+	-	-	+	-	-	-	.	.	.	.	.	.	+	-	+	+
χʷ	-	x	x	-	-	-	+	-	-	-	-	.	-	n	n	n	n	-	-	-	-	n	n	n	x	+	+	+	+	+	-	-	-	-	.	.	.	.	.	.	+	+	+	+
χː	-	o	o	-	-	-	+	-	-	-	-	.	-	n	n	n	n	-	o	-	-	n	n	n	x	+	+	+	o	o	o	o	+	-	.	.	.	.	.	.	+	-	+	+
χˤ	-	x	x	-	-	-	+	-	-	-	-	.	-	n	n	n	n	-	-	-	-	n	n	n	x	+	+	+	+	-	-	-	-	-	.	.	.	.	.	.	+	-	+	+
χˤʷ	-	x	x	-	-	-	+	-	-	-	-	.	-	n	n	n	n	-	-	-	-	n	n	n	x	+	+	+	+	+	-	-	-	-	.	.	.	.	.	.	+	+	+	+
χ̀	-	o	o	-	-	-	+	-	+	-	-	.	-	n	n	n	n	-	o	-	-	n	n	n	x	+	+	+	o	o	o	o	-	-	.	.	.	.	.	.	+	-	+	+
χ̀ʷ	-	x	x	-	-	-	+	-	+	-	-	.	-	n	n	n	n	-	-	-	-	n	n	n	x	+	+	+	+	+	-	-	-	-	.	.	.	.	.	.	+	+	+	+
ⁿc	-	o	o	-	-	-	-	-	-	-	+	-	-	n	-	n	-	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ⁿd	-	o	o	-	-	-	-	+	-	-	+	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ⁿdl	-	o	o	-	-	-	-	+	-	+	+	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ⁿdlʼ	-	o	o	-	-	-	-	+	+	+	+	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ⁿdz	-	o	o	-	-	-	-	+	-	-	+	+	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ⁿdɮ	-	o	o	-	-	-	-	+	-	+	+	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ⁿdʒ	-	o	o	-	-	-	-	+	-	-	+	+	-	n	-	n	-	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ⁿdʲ	-	x	x	-	-	-	-	+	-	-	+	-	-	n	+	-	+	+	+	+	-	-	+	+	x	-	+	-	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
ⁿdʷ	-	x	x	-	-	-	-	+	-	-	+	-	-	n	+	n	+	+	-	+	-	-	n	-	x	-	+	-	+	+	-	-	-	-	.	.	.	.	.	.	+	+	+	-
ⁿd̪	-	o	o	-	-	-	-	+	-	-	+	-	-	n	+	n	+	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ⁿdβ	-	o	o	-	-	-	-	+	-	-	+	-	-	n	+	n	+	+	o	+	+	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	+	+	-
ⁿgʷ	-	x	x	-	-	-	-	+	-	-	+	-	-	n	n	n	n	-	-	-	-	n	n	n	x	-	+	+	+	+	-	-	-	-	.	.	.	.	.	.	+	+	+	+
ⁿk	-	o	o	-	-	-	-	+	-	-	+	-	-	n	n	n	n	-	o	-	-	n	n	n	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
ⁿr	-	o	o	+	-	+	+	+	-	-	+	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ⁿs	-	o	o	-	-	-	+	-	-	-	+	+	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ⁿt	-	o	o	-	-	-	-	-	-	-	+	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
