GRAPHEME	syllabic	vocalic	consonantal	sonorant	continuant	voice	glottal_(tertiary)_closure	lateral	nasal	strident	heightened_subglottal_pressure	movement_of_glottal_closure	tense	covered	high	low	anterior	coronal	back	round	distributed	delayed_primary_release	delayed_release_of_secondary_closure	LONG	EXTRA
gʘʰ	-	-	+	-	-	+	-	n	-	-	+	n	+	n	+	-	+	-	+	-	+	-	-	-	-
gʰ	-	-	+	-	-	+	-	n	-	-	+	n	+	n	+	-	-	-	+	-	.	-	n	-	-
gʲ	-	-	+	-	-	+	-	n	-	-	-	n	.	n	+	-	-	-	-	-	.	-	n	-	-
gʷ	-	-	+	-	-	+	-	n	-	-	-	n	.	n	+	-	-	-	+	+	.	-	n	-	-
gʷː	-	-	+	-	-	+	-	n	-	-	-	n	.	n	+	-	-	-	+	+	.	-	n	+	-
gː	-	-	+	-	-	+	-	n	-	-	-	n	.	n	+	-	-	-	+	-	.	-	n	+	-
gˤ	-	-	+	-	-	+	-	n	-	-	-	n	.	n	+	+	-	-	+	-	.	-	n	-	-
ĝ	-	-	+	-	-	+	-	n	-	-	-	n	-	n	+	-	-	-	+	-	.	-	n	-	-
ĝ͡b̂	-	-	+	-	-	+	-	n	-	-	-	n	-	n	+	-	+	-	+	-	.	-	n	-	-
g̥	-	-	+	-	-	-	-	n	-	-	-	n	.	n	+	-	-	-	+	-	.	-	n	-	-
g͡b	-	-	+	-	-	+	-	n	-	-	-	n	.	n	+	-	+	-	+	-	.	-	n	-	-
g͡bʲ	-	-	+	-	-	+	-	n	-	-	-	n	.	n	+	-	+	-	+	-	.	-	n	-	-
g͡bʷ	-	-	+	-	-	+	-	n	-	-	-	n	.	n	+	-	+	-	+	+	.	-	n	-	-
g͡p	-	-	+	-	-	.	-	n	-	-	-	n	.	n	+	-	+	-	+	-	.	-	n	-	-
g͡ɓ	-	-	+	-	-	+	+	n	-	-	-	+	+	n	+	-	+	-	+	-	.	-	n	-	-
h	-	-	-	+	+	-	-	n	-	-	-	n	.	n	-	+	-	-	-	-	.	n	n	-	-
hʲ	-	-	-	+	+	-	-	n	-	-	-	n	.	n	+	+	-	-	-	-	.	n	n	-	-
hʷ	-	-	-	+	+	-	-	n	-	-	-	n	.	n	-	+	-	-	-	+	.	n	n	-	-
hʷː	-	-	-	+	+	-	-	n	-	-	-	n	.	n	-	+	-	-	-	+	.	n	n	+	-
hˤ	-	-	-	+	+	-	-	n	-	-	-	n	.	n	.	+	n	-	+	-	.	n	n	-	-
h̃	-	-	-	+	+	-	-	n	+	-	-	n	.	n	-	+	-	-	-	-	.	n	n	-	-
i	+	+	-	+	+	+	-	n	-	-	-	n	+	-	+	-	-	-	-	-	n	n	n	-	-
ia	+	+	-	+	+	+	-	n	-	-	-	n	+	-	.	.	-	-	.	-	n	n	n	+	-
ie	+	+	-	+	+	+	-	n	-	-	-	n	+	-	.	-	-	-	-	-	n	n	n	+	-
ij	+	+	-	+	+	+	-	n	-	-	-	n	+	-	+	-	-	-	-	-	n	n	n	+	-
iə	+	+	-	+	+	+	-	n	-	-	-	n	+	-	.	-	-	-	.	-	n	n	n	+	-
iɛ	+	+	-	+	+	+	-	n	-	-	-	n	-	-	.	-	-	-	-	-	n	n	n	+	-
iʔ	+	+	-	+	+	+	+	n	-	-	-	+	+	-	+	-	-	-	-	-	n	n	n	-	-
iʔi	+	+	-	+	+	+	+	n	-	-	-	-	+	-	+	-	-	-	-	-	n	n	n	-	-
iː	+	+	-	+	+	+	-	n	-	-	-	n	+	-	+	-	-	-	-	-	n	n	n	+	-
iːː	+	+	-	+	+	+	-	n	-	-	-	n	+	-	+	-	-	-	-	-	n	n	n	+	+
iˤ	+	+	-	+	+	+	-	n	-	-	-	n	+	-	+	+	-	-	+	-	n	n	n	-	-
ĩ	+	+	-	+	+	+	-	n	+	-	-	n	+	-	+	-	-	-	-	-	n	n	n	-	-
ĩʔ	+	+	-	+	+	+	+	n	+	-	-	+	+	-	+	-	-	-	-	-	n	n	n	-	-
ĩʔĩ	+	+	-	+	+	+	+	n	+	-	-	-	+	-	+	-	-	-	-	-	n	n	n	-	-
ĩː	+	+	-	+	+	+	-	n	+	-	-	n	+	-	+	-	-	-	-	-	n	n	n	+	-
i̝	+	+	-	+	+	+	-	n	-	-	-	n	+	-	+	-	-	-	-	-	n	n	n	-	-
i̝ː	+	+	-	+	+	+	-	n	-	-	-	n	+	-	+	-	-	-	-	-	n	n	n	+	-
i̞	+	+	-	+	+	+	-	n	-	-	-	n	.	-	+	-	-	-	-	-	n	n	n	-	-
i̟	+	+	-	+	+	+	-	n	-	-	-	n	+	-	+	-	-	-	-	-	n	n	n	-	-
i̤	+	+	-	+	+	+	-	n	-	-	+	n	+	-	+	-	-	-	-	-	n	n	n	-	-
i̤e̤	+	+	-	+	+	+	-	n	-	-	+	n	+	-	.	-	-	-	-	-	n	n	n	+	-
i̤ː	+	+	-	+	+	+	-	n	-	-	+	n	+	-	+	-	-	-	-	-	n	n	n	+	-
i̥	+	-	-	+	+	-	-	n	-	-	-	n	+	-	+	-	-	-	-	-	n	n	n	-	-
i̯e	+	+	-	+	+	+	-	n	-	-	-	n	+	-	.	-	-	-	-	-	n	n	n	+	-
i̯o	+	+	-	+	+	+	-	n	-	-	-	n	+	-	.	-	-	-	.	.	n	n	n	+	-
